deadline_ms,injected_latency_ms,rep,rate_rps,duration,http_reqs,rps_actual,status_201,status_409,status_503,status_504,status_other,p50_ms,p95_ms,p99_ms,max_ms
60000,0,1,5,30s,151,5.03,151,0,0,0,0,25.64,27.45,34.31,37.35
60000,0,2,5,30s,150,5,150,0,0,0,0,24.99,27.05,29.9,35.76
60000,0,3,5,30s,151,5.03,151,0,0,0,0,25.31,27.97,30.65,35.8
60000,250,1,5,30s,150,4.98,150,0,0,0,0,265.6,284.49,289.1,290.56
60000,250,2,5,30s,151,4.99,151,0,0,0,0,263.99,282.15,287.38,288.09
60000,250,3,5,30s,151,4.98,151,0,0,0,0,265.22,283.36,287.41,292.55
60000,500,1,5,30s,151,4.95,151,0,0,0,0,511.78,514.04,534.23,536.08
60000,500,2,5,30s,151,4.95,151,0,0,0,0,511.68,513.54,524.23,536.03
60000,500,3,5,30s,151,4.95,151,0,0,0,0,511.52,512.94,516.27,536.29
60000,750,1,5,30s,150,4.91,150,0,0,0,0,761.51,763.33,766.41,777.68
60000,750,2,5,30s,150,4.91,150,0,0,0,0,761.7,763.03,766.24,776.1
60000,750,3,5,30s,151,4.91,151,0,0,0,0,762.5,769.62,773.62,780.37
60000,1000,1,5,30s,151,4.87,151,0,0,0,0,1011.8,1014.06,1016.74,1016.89
60000,1000,2,5,30s,151,4.87,151,0,0,0,0,1011.72,1013.97,1015.42,1016.65
60000,1000,3,5,30s,151,4.87,151,0,0,0,0,1011.61,1013.93,1018.85,1027.59
60000,1500,1,5,30s,151,4.79,151,0,0,0,0,1512.24,1515.1,1520.06,1536.3
60000,1500,2,5,30s,151,4.79,151,0,0,0,0,1511.99,1514.1,1516.28,1534.99
60000,1500,3,5,30s,150,4.79,150,0,0,0,0,1511.87,1513.91,1515.42,1534.34
800,0,1,5,30s,150,5,150,0,0,0,0,26.14,28.47,38.39,40.37
800,0,2,5,30s,150,5,150,0,0,0,0,25.66,29.98,35.11,38.38
800,0,3,5,30s,151,5.03,151,0,0,0,0,25.39,28.2,33.47,37.34
800,250,1,5,30s,150,4.98,150,0,0,0,0,275.87,288.57,290.12,290.53
800,250,2,5,30s,151,4.99,151,0,0,0,0,275.8,286.83,288.97,290.37
800,250,3,5,30s,151,4.99,151,0,0,0,0,275.34,287.3,291.12,295.44
800,500,1,5,30s,151,4.95,151,0,0,0,0,512.38,529.74,534.16,534.42
800,500,2,5,30s,151,4.95,151,0,0,0,0,512.25,514.9,534.32,537.28
800,500,3,5,30s,151,4.95,151,0,0,0,0,512.27,514.28,533.9,539.04
800,750,1,5,30s,150,4.91,150,0,0,0,0,775.46,779.76,789.59,792.37
800,750,2,5,30s,151,4.91,151,0,0,0,0,775.71,779.7,786.84,789.24
800,750,3,5,30s,150,4.91,150,0,0,0,0,775.66,778.43,787.05,788.84
800,1000,1,5,30s,150,4.9,0,0,0,150,0,818.85,823.36,833.3,835.14
800,1000,2,5,30s,151,4.9,0,0,0,151,0,818.86,828.01,833.62,835.01
800,1000,3,5,30s,151,4.9,0,0,0,151,0,818.9,825.75,834.11,834.58
800,1500,1,5,30s,151,4.9,0,0,0,151,0,818.69,820.9,833.25,833.44
800,1500,2,5,30s,151,4.9,0,0,0,151,0,818.76,820.85,832.96,833.41
800,1500,3,5,30s,151,4.9,0,0,0,151,0,819.01,828.05,832.9,836
